	GLOBAL	GLOBAL
	Right Knee Angles_Z_RHS_RHS	Right Knee Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-25.57	10.39
2	-24.94	10.20
3	-24.16	10.01
4	-23.26	9.82
5	-22.32	9.65
6	-21.42	9.51
7	-20.65	9.41
8	-20.03	9.35
9	-19.58	9.34
10	-19.29	9.37
11	-19.15	9.43
12	-19.15	9.50
13	-19.25	9.57
14	-19.43	9.63
15	-19.62	9.67
16	-19.78	9.71
17	-19.86	9.75
18	-19.85	9.78
19	-19.76	9.81
20	-19.61	9.84
21	-19.42	9.84
22	-19.21	9.83
23	-19.00	9.83
24	-18.78	9.83
25	-18.57	9.84
26	-18.35	9.86
27	-18.13	9.89
28	-17.91	9.93
29	-17.71	9.96
30	-17.53	9.99
31	-17.36	10.00
32	-17.23	10.01
33	-17.13	10.01
34	-17.05	10.00
35	-17.01	10.01
36	-16.99	10.02
37	-16.99	10.06
38	-17.00	10.12
39	-17.01	10.19
40	-16.98	10.27
41	-16.91	10.37
42	-16.78	10.47
43	-16.59	10.57
44	-16.34	10.67
45	-16.05	10.77
46	-15.75	10.86
47	-15.47	10.93
48	-15.23	11.00
49	-15.07	11.05
50	-15.03	11.09
51	-15.12	11.12
52	-15.36	11.12
53	-15.75	11.11
54	-16.28	11.07
55	-16.90	10.98
56	-17.55	10.83
57	-18.15	10.62
58	-18.61	10.33
59	-18.85	9.97
60	-18.82	9.56
61	-18.51	9.13
62	-17.93	8.70
63	-17.17	8.30
64	-16.33	7.96
65	-15.53	7.75
66	-14.84	7.60
67	-14.36	7.56
68	-14.12	7.61
69	-14.12	7.70
70	-14.33	7.80
71	-14.72	7.93
72	-15.22	7.98
73	-15.79	7.98
74	-16.41	7.91
75	-17.06	7.82
76	-17.71	7.72
77	-18.37	7.62
78	-19.02	7.55
79	-19.67	7.52
80	-20.31	7.53
81	-20.93	7.58
82	-21.52	7.65
83	-22.05	7.75
84	-22.51	7.87
85	-22.88	8.03
86	-23.17	8.23
87	-23.37	8.47
88	-23.53	8.73
89	-23.66	9.01
90	-23.82	9.31
91	-24.03	9.60
92	-24.32	9.90
93	-24.69	10.19
94	-25.11	10.46
95	-25.55	10.68
96	-25.94	10.83
97	-26.23	10.89
98	-26.37	10.86
99	-26.32	10.78
100	-26.06	10.67
101	-25.59	10.56
