	GLOBAL	GLOBAL
	Right Knee Angles_X_RHS_RHS	Right Knee Angles_X_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	3.99	4.64
2	5.41	4.78
3	6.95	4.97
4	8.56	5.18
5	10.22	5.41
6	11.88	5.60
7	13.47	5.74
8	14.92	5.82
9	16.14	5.85
10	17.09	5.84
11	17.76	5.81
12	18.15	5.77
13	18.29	5.74
14	18.24	5.70
15	18.02	5.66
16	17.67	5.61
17	17.21	5.54
18	16.66	5.45
19	16.03	5.35
20	15.34	5.25
21	14.60	5.14
22	13.82	5.04
23	13.04	4.96
24	12.27	4.89
25	11.52	4.83
26	10.80	4.79
27	10.12	4.76
28	9.48	4.74
29	8.87	4.72
30	8.30	4.72
31	7.77	4.72
32	7.29	4.72
33	6.85	4.74
34	6.46	4.76
35	6.12	4.79
36	5.84	4.82
37	5.62	4.86
38	5.47	4.88
39	5.39	4.91
40	5.40	4.93
41	5.50	4.95
42	5.70	4.96
43	6.03	4.98
44	6.47	4.99
45	7.06	4.99
46	7.78	4.98
47	8.65	4.97
48	9.69	4.95
49	10.90	4.93
50	12.28	4.91
51	13.87	4.90
52	15.68	4.92
53	17.73	4.96
54	20.02	5.02
55	22.56	5.11
56	25.34	5.22
57	28.34	5.35
58	31.53	5.49
59	34.85	5.64
60	38.25	5.78
61	41.65	5.91
62	44.98	6.01
63	48.20	6.07
64	51.22	6.10
65	54.01	6.08
66	56.50	6.05
67	58.66	6.00
68	60.49	5.96
69	61.96	5.93
70	63.09	5.94
71	63.89	5.95
72	64.34	6.01
73	64.46	6.10
74	64.24	6.20
75	63.70	6.30
76	62.82	6.41
77	61.59	6.52
78	60.03	6.64
79	58.14	6.77
80	55.92	6.91
81	53.39	7.06
82	50.55	7.22
83	47.42	7.39
84	44.00	7.54
85	40.33	7.68
86	36.43	7.79
87	32.35	7.86
88	28.14	7.89
89	23.89	7.87
90	19.70	7.77
91	15.68	7.61
92	11.98	7.36
93	8.70	7.02
94	5.96	6.60
95	3.85	6.14
96	2.41	5.68
97	1.65	5.26
98	1.53	4.93
99	1.98	4.72
100	2.89	4.63
101	4.12	4.66
