	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris	Left Rectus Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
66	3.1	3.3	3.9	3.1	3.1	3.7	3.0	2.4	2.7	2.7
67	3.6	3.0	3.9	2.4	3.3	3.6	3.3	2.5	2.8	2.1
68	3.5	2.8	3.9	2.2	3.1	3.5	3.3	2.3	2.7	2.4
69	3.6	2.6	3.9	2.0	3.0	3.5	3.3	2.8	2.1	2.3
70	3.5	2.5	3.6	2.2	3.0	3.6	2.9	2.9	2.3	2.4
71	3.5	2.3	3.5	2.2	3.0	2.8	2.7	2.7	2.2	2.3
72	3.0	2.3	2.7	2.1	2.4	2.5	2.3	2.8	2.5	2.3
73	2.6	2.9	2.1	2.2	2.3	2.4	2.4	2.8	2.5	2.0
74	2.6	2.8	2.0	2.1	2.3	1.9	2.5	3.0	2.7	2.1
75	3.1	3.5	2.0	2.5	2.6	1.7	2.8	2.9	2.6	2.0
76	3.0	3.6	2.3	2.8	2.6	1.7	2.7	2.9	2.4	2.0
77	3.0	3.7	2.3	2.8	3.0	1.7	2.5	3.0	2.4	2.8
78	2.9	3.7	2.6	2.7	2.8	1.6	2.8	3.1	2.2	3.5
79	2.7	4.0	2.6	2.7	3.3	2.0	2.8	3.4	2.1	4.0
80	2.9	4.2	2.7	2.6	3.4	2.0	2.7	3.1	2.2	4.6
81	2.4	4.1	2.5	2.2	3.2	2.7	2.6	2.8	2.4	5.1
82	2.9	4.0	2.6	1.9	3.2	3.2	2.6	2.8	2.3	4.8
83	3.4	3.9	2.7	2.1	3.2	3.2	2.6	2.8	2.3	4.6
84	3.5	3.6	2.8	2.2	3.2	3.3	2.2	2.1	2.8	3.9
85	3.6	3.1	2.9	2.8	3.7	3.1	2.5	2.1	2.8	3.4
86	3.6	2.6	2.9	2.8	3.9	3.3	2.3	2.1	2.9	2.3
87	3.9	2.7	3.7	3.0	3.9	2.8	2.3	2.3	2.8	2.8
88	3.7	3.2	3.6	3.2	3.9	2.2	2.3	2.3	2.7	3.3
89	3.4	3.7	4.0	3.4	3.6	2.5	2.5	2.4	2.6	3.4
90	3.4	3.7	3.9	3.5	3.4	3.3	2.3	2.6	2.2	3.6
91	3.3	4.3	3.8	3.2	2.1	3.8	2.2	3.0	1.9	4.1
92	3.3	4.3	3.7	3.5	2.6	5.3	2.9	3.3	2.0	3.8
93	3.1	4.3	3.0	3.2	2.8	5.5	3.0	3.3	2.0	3.3
94	3.6	4.1	3.7	3.7	2.8	5.5	3.9	3.0	2.5	3.0
95	3.9	3.9	3.0	4.3	2.8	5.4	4.1	2.9	2.4	2.9
96	4.3	4.0	2.9	4.1	2.8	5.1	4.4	3.2	2.9	2.4
97	4.6	3.2	3.2	3.9	2.8	4.3	4.5	2.8	3.0	2.1
98	4.8	3.2	3.3	3.8	2.7	3.1	4.2	2.7	4.4	2.8
99	4.8	3.6	3.3	4.1	2.2	3.1	3.6	2.5	4.3	2.9
100	4.4	3.3	2.8	3.4	2.3	2.7	3.5	2.7	4.5	2.8
101	4.4	3.3	2.6	3.6	2.5	2.8	3.0	2.7	4.4	3.0
