	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
45	0.0604	0.0558	0.0537	0.0589	0.0614	0.0596	0.0591	0.0596	0.0552	0.0518	0.0542	0.0443
46	0.0623	0.0575	0.0558	0.0615	0.0639	0.0627	0.0613	0.0621	0.0572	0.0538	0.0563	0.0443
47	0.0648	0.0597	0.0582	0.0646	0.0672	0.0664	0.0641	0.0653	0.0595	0.0563	0.0588	0.0443
48	0.0678	0.0625	0.0612	0.0682	0.0712	0.0709	0.0676	0.0693	0.0627	0.0596	0.0619	0.0443
49	0.0714	0.0658	0.0649	0.0725	0.0758	0.0761	0.0718	0.0740	0.0668	0.0636	0.0656	0.0443
50	0.0757	0.0698	0.0691	0.0775	0.0813	0.0821	0.0768	0.0795	0.0719	0.0684	0.0699	0.0443
51	0.0807	0.0744	0.0740	0.0831	0.0876	0.0888	0.0827	0.0857	0.0777	0.0739	0.0748	0.0443
52	0.0865	0.0797	0.0796	0.0895	0.0947	0.0963	0.0894	0.0925	0.0844	0.0803	0.0803	0.0443
53	0.0928	0.0857	0.0861	0.0966	0.1025	0.1045	0.0968	0.1001	0.0917	0.0874	0.0865	0.0443
54	0.1000	0.0926	0.0934	0.1044	0.1110	0.1133	0.1049	0.1082	0.0996	0.0953	0.0935	0.0443
55	0.1075	0.1002	0.1014	0.1130	0.1202	0.1229	0.1138	0.1174	0.1084	0.1040	0.1013	0.0443
56	0.1159	0.1085	0.1104	0.1224	0.1300	0.1332	0.1233	0.1274	0.1181	0.1135	0.1100	0.0443
57	0.1246	0.1177	0.1203	0.1326	0.1406	0.1444	0.1338	0.1383	0.1288	0.1238	0.1198	0.0443
58	0.1343	0.1277	0.1313	0.1437	0.1525	0.1562	0.1451	0.1500	0.1406	0.1350	0.1306	0.0443
59	0.1449	0.1385	0.1433	0.1554	0.1644	0.1682	0.1573	0.1624	0.1531	0.1472	0.1425	0.0443
60	0.1563	0.1502	0.1560	0.1675	0.1763	0.1804	0.1699	0.1747	0.1661	0.1601	0.1551	0.0443
61	0.1684	0.1625	0.1691	0.1795	0.1881	0.1932	0.1825	0.1870	0.1789	0.1729	0.1681	0.0443
