	GLOBAL	GLOBAL
	Right Pelvic Angles_Z_RHS_RHS	Right Pelvic Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	8.05	3.93
2	8.02	3.92
3	7.91	3.91
4	7.73	3.88
5	7.50	3.86
6	7.23	3.84
7	6.95	3.81
8	6.70	3.78
9	6.49	3.75
10	6.34	3.71
11	6.25	3.67
12	6.21	3.62
13	6.21	3.58
14	6.21	3.55
15	6.21	3.52
16	6.18	3.49
17	6.11	3.48
18	5.99	3.46
19	5.82	3.45
20	5.60	3.43
21	5.33	3.41
22	5.01	3.40
23	4.66	3.38
24	4.26	3.36
25	3.84	3.35
26	3.39	3.34
27	2.93	3.33
28	2.45	3.33
29	1.97	3.34
30	1.49	3.35
31	1.00	3.36
32	0.52	3.37
33	0.04	3.38
34	-0.44	3.39
35	-0.92	3.40
36	-1.40	3.41
37	-1.89	3.43
38	-2.38	3.45
39	-2.88	3.48
40	-3.38	3.52
41	-3.88	3.56
42	-4.37	3.62
43	-4.85	3.68
44	-5.30	3.74
45	-5.72	3.80
46	-6.09	3.86
47	-6.41	3.91
48	-6.67	3.95
49	-6.87	3.97
50	-7.00	3.99
51	-7.07	4.01
52	-7.08	4.01
53	-7.02	4.01
54	-6.91	4.01
55	-6.75	3.99
56	-6.56	3.98
57	-6.36	3.95
58	-6.17	3.90
59	-6.01	3.84
60	-5.89	3.76
61	-5.81	3.67
62	-5.78	3.58
63	-5.78	3.47
64	-5.79	3.38
65	-5.78	3.28
66	-5.75	3.19
67	-5.67	3.10
68	-5.54	3.02
69	-5.36	2.94
70	-5.12	2.86
71	-4.83	2.79
72	-4.50	2.73
73	-4.12	2.67
74	-3.71	2.62
75	-3.27	2.57
76	-2.81	2.54
77	-2.33	2.51
78	-1.84	2.48
79	-1.35	2.47
80	-0.85	2.47
81	-0.35	2.47
82	0.15	2.48
83	0.65	2.51
84	1.15	2.54
85	1.65	2.59
86	2.16	2.65
87	2.68	2.71
88	3.19	2.79
89	3.72	2.87
90	4.24	2.96
91	4.76	3.05
92	5.26	3.14
93	5.74	3.23
94	6.19	3.32
95	6.59	3.40
96	6.94	3.48
97	7.24	3.55
98	7.47	3.62
99	7.64	3.68
100	7.74	3.73
101	7.78	3.79
