	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral	Right Gastrocnemius lateral
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
53	27.5	19.0	19.7	13.1	8.7	12.1	13.6	12.4	5.2	15.0	5.2	13.4
54	28.2	20.5	19.6	13.1	8.6	23.3	14.2	12.2	6.3	16.1	7.3	11.8
55	29.8	22.7	23.9	13.6	11.3	34.5	13.7	15.3	9.8	18.2	10.7	12.2
56	31.4	23.2	33.0	14.7	13.7	39.6	12.8	17.4	16.2	16.7	13.6	11.6
57	50.3	26.2	36.3	29.4	17.3	39.9	12.7	19.1	19.6	27.2	15.6	11.3
58	55.1	28.2	39.5	43.6	17.6	41.1	14.6	19.8	21.0	29.2	21.1	11.4
59	59.1	30.6	38.3	67.0	22.7	40.8	16.6	20.7	22.0	32.7	35.6	13.0
60	69.2	42.5	41.5	74.0	31.2	31.6	18.9	25.0	21.6	33.7	40.9	14.6
61	77.5	56.0	60.0	74.0	42.6	33.2	19.5	25.4	23.2	53.5	44.4	17.7
62	75.8	61.5	70.6	74.5	69.9	34.6	33.6	45.7	34.3	71.5	54.0	30.4
63	67.2	67.6	88.6	66.2	70.3	38.6	34.3	58.5	35.6	73.8	62.2	43.5
64	64.3	72.6	93.4	58.2	76.3	42.4	37.9	62.5	40.9	80.3	83.7	54.4
65	58.0	76.0	95.9	53.7	88.1	43.9	56.7	72.3	49.6	86.5	87.6	63.7
66	48.9	74.0	94.6	53.0	89.1	45.3	60.8	74.9	56.5	83.4	95.9	83.5
67	42.6	70.8	79.9	61.7	85.1	53.0	64.9	78.4	67.0	75.4	99.2	101.1
68	49.1	78.2	73.9	75.6	69.1	71.6	70.2	75.6	72.0	61.6	99.5	96.8
69	47.1	78.0	55.4	75.3	70.4	75.5	79.3	76.8	78.4	62.0	98.9	97.3
70	47.2	68.0	43.7	69.7	83.2	80.0	75.2	70.0	75.8	64.2	76.1	98.0
71	47.6	63.7	43.3	63.5	66.8	84.6	65.8	69.7	77.5	59.8	74.4	87.1
72	48.6	60.8	37.7	63.1	67.3	85.6	63.1	62.8	65.7	60.6	61.9	59.2
73	47.5	54.0	34.9	45.1	64.3	81.8	57.0	51.6	65.8	57.3	50.1	59.7
74	43.1	32.5	29.4	28.5	61.1	64.7	41.0	42.1	53.7	55.1	53.9	54.0
75	43.0	32.2	22.0	27.6	55.3	57.3	30.1	41.1	46.0	44.4	52.4	39.5
76	40.5	33.6	19.6	25.4	21.6	45.5	25.0	31.1	42.8	29.9	43.1	32.7
77	38.7	33.1	18.7	23.6	18.1	38.1	20.8	22.0	33.3	17.4	35.9	26.4
78	25.8	25.5	16.2	19.8	11.9	22.3	18.8	15.5	28.4	10.7	34.2	15.3
79	15.1	23.6	10.7	17.8	11.3	20.7	16.3	13.4	13.3	9.1	11.8	14.4
80	14.9	23.8	9.2	14.8	10.8	14.9	14.2	12.8	11.3	9.2	8.9	11.7
81	11.0	16.6	8.6	8.1	10.8	10.8	9.7	9.5	12.8	8.8	6.9	11.1
82	7.4	11.7	8.3	7.5	9.2	12.3	8.8	9.1	13.9	8.6	6.9	11.5
83	6.9	8.2	6.5	7.0	7.8	14.5	8.0	8.8	12.7	7.5	5.5	11.1
84	6.4	8.0	7.7	6.2	7.6	23.3	5.6	9.0	11.4	8.2	5.3	9.7
85	7.1	8.0	7.2	4.0	6.4	31.5	4.5	6.9	11.0	8.1	6.9	10.6
86	5.6	5.4	8.3	4.9	4.8	33.3	4.2	7.6	8.7	6.7	6.2	7.4
87	4.6	6.3	8.4	5.8	2.9	36.1	4.1	9.3	8.2	6.4	9.8	7.4
88	6.1	6.4	8.4	7.0	3.6	35.5	5.3	11.5	8.8	6.8	10.3	7.7
89	6.4	6.6	6.9	7.0	6.5	35.8	5.6	11.0	8.8	7.5	10.3	7.6
90	5.9	5.3	6.1	6.8	7.9	27.8	6.3	14.8	8.6	9.0	11.0	6.8
91	5.8	5.0	3.3	7.0	8.6	19.9	6.6	14.7	8.6	9.2	11.5	5.8
92	5.7	5.6	2.9	5.6	9.0	17.2	7.7	14.1	8.0	9.3	10.9	4.4
93	4.6	4.1	2.4	4.8	10.0	12.4	7.8	12.7	4.4	9.3	8.9	2.7
94	4.3	3.6	2.4	3.8	9.4	13.0	7.7	13.1	5.3	8.5	9.3	3.1
95	4.4	3.9	3.0	3.7	9.1	9.7	8.3	8.1	4.9	7.4	9.2	2.9
96	4.5	3.9	3.2	3.9	7.8	10.0	8.0	7.8	5.6	5.9	7.1	3.2
97	4.5	3.9	3.5	3.3	7.3	9.4	7.7	7.6	5.6	6.1	7.1	3.4
98	4.6	4.1	4.1	3.5	7.0	10.1	7.2	6.0	5.3	5.9	6.5	4.5
99	4.8	4.0	4.1	3.7	5.3	10.0	7.0	4.9	4.1	5.0	6.5	4.4
100	4.1	4.1	3.9	4.4	5.0	10.2	6.8	5.0	4.1	4.3	6.1	4.6
101	3.6	4.7	3.3	4.4	3.7	8.8	5.5	4.6	3.6	4.0	5.9	4.3
