	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial	Left Gastrocnemius medial
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
65	39.4	41.3	24.1	50.3	33.2	38.5	42.1	32.2	60.4	31.3
66	42.6	45.0	32.1	52.5	29.6	43.5	47.8	38.8	61.2	31.9
67	44.7	41.2	33.6	51.2	35.1	43.2	48.4	38.1	60.2	32.9
68	41.9	46.1	37.7	51.1	36.1	51.8	51.1	38.6	58.4	31.9
69	42.9	47.8	48.7	44.2	39.8	52.0	49.2	35.6	48.9	32.8
70	43.9	52.1	48.8	42.6	38.5	52.6	44.4	37.8	34.1	39.3
71	47.6	48.8	48.9	33.2	38.0	51.0	43.6	33.0	28.3	43.9
72	46.2	47.1	52.3	32.4	36.7	48.0	36.9	28.6	26.9	42.1
73	41.3	46.1	53.1	30.7	29.7	43.8	29.8	26.2	18.3	40.3
74	38.3	36.5	43.5	22.5	23.8	36.6	23.0	25.2	16.1	40.5
75	37.6	35.3	41.4	21.7	18.6	28.6	25.3	23.7	14.1	30.4
76	37.0	28.0	45.6	21.2	13.9	22.8	23.3	24.2	11.6	22.8
77	31.9	25.9	40.1	20.6	13.0	11.3	16.4	22.2	11.5	18.9
78	27.8	24.5	32.2	10.7	12.1	11.4	14.4	22.4	10.9	19.8
79	23.7	22.9	29.3	11.4	11.2	10.7	14.2	21.9	10.5	20.0
80	23.9	19.2	26.6	11.2	7.2	9.3	10.1	21.0	10.6	17.8
81	21.4	16.6	22.1	11.2	5.7	9.0	5.5	22.4	10.4	16.3
82	16.4	14.1	11.4	9.8	4.9	8.4	5.0	17.0	7.1	14.0
83	12.5	13.8	9.6	9.4	4.2	7.4	5.1	17.9	6.8	14.4
84	13.2	15.1	9.0	8.5	4.3	5.1	5.1	23.3	5.8	14.6
85	12.9	13.3	8.0	6.0	3.8	3.5	4.8	23.2	3.7	12.9
86	12.3	10.2	7.9	5.6	4.0	2.0	4.3	22.5	3.3	10.9
87	11.7	9.3	7.7	3.1	4.0	2.0	2.8	20.8	2.3	10.5
88	10.5	8.4	6.6	3.1	4.6	2.2	2.1	19.3	2.9	5.7
89	9.3	6.7	4.5	3.2	4.6	3.1	2.2	11.7	3.1	3.0
90	6.1	4.4	3.7	3.4	4.4	3.3	2.1	5.8	2.9	2.5
91	4.3	3.4	2.6	3.3	4.2	3.8	2.0	5.2	2.7	3.0
92	4.0	3.1	2.2	3.0	4.9	4.0	2.1	5.6	3.4	4.5
93	4.0	2.1	2.7	3.5	4.3	4.5	2.0	5.5	4.4	5.0
94	4.2	2.1	2.7	3.5	3.7	5.4	2.4	4.0	4.6	5.6
95	3.7	1.9	2.4	3.6	4.0	5.4	2.9	4.2	5.2	6.5
96	2.8	2.3	2.9	3.7	4.2	6.1	3.4	5.7	5.7	6.5
97	2.4	3.8	4.3	4.8	5.3	6.6	3.8	5.6	6.6	7.0
98	2.5	4.6	4.4	4.6	4.6	8.3	4.5	5.0	6.2	6.4
99	2.6	6.3	4.6	4.1	4.7	8.2	5.1	4.9	6.2	7.6
100	2.3	6.3	4.9	4.4	4.9	9.0	6.2	6.9	5.6	7.7
101	2.9	6.8	5.9	4.7	5.1	9.1	6.2	7.1	5.3	8.1
