	GLOBAL	GLOBAL
	Right Foot Progression_Z_RHS_RHS	Right Foot Progression_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-12.91	3.79
2	-12.75	3.78
3	-12.53	3.80
4	-12.24	3.84
5	-11.89	3.88
6	-11.50	3.92
7	-11.11	3.95
8	-10.75	3.97
9	-10.45	3.99
10	-10.21	4.01
11	-10.03	4.03
12	-9.90	4.06
13	-9.84	4.08
14	-9.81	4.10
15	-9.81	4.11
16	-9.84	4.12
17	-9.88	4.12
18	-9.92	4.12
19	-9.97	4.12
20	-10.01	4.11
21	-10.06	4.11
22	-10.11	4.11
23	-10.17	4.11
24	-10.24	4.11
25	-10.32	4.11
26	-10.42	4.11
27	-10.53	4.11
28	-10.67	4.11
29	-10.81	4.12
30	-10.97	4.12
31	-11.15	4.14
32	-11.34	4.16
33	-11.54	4.18
34	-11.74	4.21
35	-11.95	4.25
36	-12.15	4.29
37	-12.34	4.32
38	-12.52	4.35
39	-12.68	4.37
40	-12.81	4.39
41	-12.91	4.40
42	-12.96	4.41
43	-12.96	4.41
44	-12.91	4.42
45	-12.79	4.44
46	-12.62	4.46
47	-12.40	4.49
48	-12.14	4.53
49	-11.84	4.56
50	-11.51	4.58
51	-11.18	4.60
52	-10.84	4.60
53	-10.51	4.59
54	-10.18	4.57
55	-9.85	4.55
56	-9.54	4.55
57	-9.26	4.58
58	-9.02	4.65
59	-8.89	4.76
60	-8.93	4.90
61	-9.22	5.07
62	-9.81	5.27
63	-10.71	5.51
64	-11.89	5.78
65	-13.27	6.05
66	-14.72	6.28
67	-16.12	6.44
68	-17.37	6.53
69	-18.40	6.58
70	-19.19	6.59
71	-19.76	6.58
72	-20.14	6.56
73	-20.35	6.51
74	-20.47	6.44
75	-20.53	6.35
76	-20.58	6.23
77	-20.67	6.10
78	-20.83	5.95
79	-21.04	5.81
80	-21.32	5.66
81	-21.61	5.54
82	-21.88	5.43
83	-22.08	5.36
84	-22.16	5.33
85	-22.09	5.32
86	-21.83	5.34
87	-21.40	5.37
88	-20.80	5.38
89	-20.07	5.37
90	-19.26	5.34
91	-18.42	5.28
92	-17.61	5.18
93	-16.87	5.06
94	-16.23	4.91
95	-15.70	4.75
96	-15.26	4.59
97	-14.91	4.43
98	-14.61	4.30
99	-14.34	4.20
100	-14.07	4.14
101	-13.78	4.12
