	GLOBAL	GLOBAL
	Right Hip Angles_Z_RHS_RHS	Right Hip Angles_Z_RHS_RHS
	P2D	P2D
	PROCESSED	PROCESSED
ITEM	1	2
1	-2.76	5.86
2	-2.67	5.72
3	-2.56	5.59
4	-2.42	5.50
5	-2.23	5.48
6	-1.98	5.52
7	-1.66	5.62
8	-1.30	5.76
9	-0.91	5.91
10	-0.52	6.07
11	-0.14	6.24
12	0.19	6.43
13	0.47	6.62
14	0.67	6.80
15	0.82	6.96
16	0.91	7.09
17	0.97	7.18
18	1.01	7.25
19	1.06	7.29
20	1.13	7.33
21	1.24	7.35
22	1.39	7.37
23	1.60	7.39
24	1.85	7.41
25	2.14	7.44
26	2.47	7.47
27	2.83	7.51
28	3.19	7.53
29	3.56	7.53
30	3.92	7.51
31	4.27	7.46
32	4.59	7.40
33	4.88	7.31
34	5.14	7.20
35	5.36	7.08
36	5.53	6.97
37	5.67	6.88
38	5.76	6.80
39	5.82	6.75
40	5.84	6.72
41	5.83	6.71
42	5.78	6.72
43	5.70	6.73
44	5.59	6.75
45	5.46	6.78
46	5.32	6.81
47	5.15	6.83
48	4.98	6.85
49	4.79	6.85
50	4.57	6.84
51	4.33	6.82
52	4.05	6.82
53	3.73	6.82
54	3.36	6.85
55	2.96	6.92
56	2.53	7.01
57	2.08	7.14
58	1.62	7.29
59	1.17	7.45
60	0.74	7.58
61	0.33	7.64
62	-0.06	7.60
63	-0.44	7.45
64	-0.83	7.18
65	-1.22	6.83
66	-1.61	6.45
67	-2.00	6.07
68	-2.37	5.73
69	-2.69	5.46
70	-2.95	5.25
71	-3.13	5.11
72	-3.22	5.04
73	-3.19	5.01
74	-3.06	5.00
75	-2.82	5.00
76	-2.48	5.01
77	-2.08	5.04
78	-1.63	5.08
79	-1.17	5.14
80	-0.73	5.20
81	-0.33	5.26
82	-0.00	5.31
83	0.22	5.32
84	0.35	5.31
85	0.37	5.28
86	0.27	5.23
87	0.04	5.17
88	-0.29	5.11
89	-0.72	5.05
90	-1.20	5.01
91	-1.70	5.01
92	-2.18	5.08
93	-2.63	5.21
94	-3.01	5.39
95	-3.31	5.60
96	-3.53	5.79
97	-3.66	5.93
98	-3.69	6.02
99	-3.65	6.05
100	-3.54	6.03
101	-3.37	5.99
