	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
91	-2.76	-3.20	-3.87	-1.54	-2.31	-1.54
92	-2.89	-3.33	-4.01	-1.68	-2.44	-1.54
93	-3.01	-3.48	-4.13	-1.83	-2.57	-1.54
94	-3.13	-3.62	-4.22	-1.96	-2.68	-1.54
95	-3.23	-3.77	-4.28	-2.09	-2.77	-1.54
96	-3.30	-3.89	-4.30	-2.19	-2.82	-1.54
97	-3.34	-4.00	-4.27	-2.26	-2.83	-1.54
98	-3.33	-4.07	-4.18	-2.30	-2.79	-1.54
99	-3.29	-4.11	-4.03	-2.28	-2.71	-1.54
100	-3.20	-4.09	-3.82	-2.22	-2.57	-1.54
101	-3.07	-4.02	-3.55	-2.11	-2.39	-1.54
