	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles	Left Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
42	-5.3	-3.0	-3.4	-2.2	-3.7	-5.3	-5.6	-5.2	-3.9	-5.9	-7.8	-1.0
43	-5.3	-3.2	-3.4	-2.3	-3.7	-5.4	-5.7	-5.2	-3.9	-5.8	-7.5	-1.0
44	-5.3	-3.3	-3.4	-2.4	-3.6	-5.3	-5.7	-5.0	-3.8	-5.6	-7.0	-1.0
45	-5.1	-3.4	-3.4	-2.4	-3.5	-5.2	-5.6	-4.8	-3.7	-5.3	-6.5	-1.0
46	-4.9	-3.4	-3.2	-2.4	-3.4	-4.9	-5.4	-4.5	-3.5	-4.9	-5.8	-1.0
47	-4.5	-3.3	-3.0	-2.2	-3.2	-4.5	-5.1	-4.2	-3.2	-4.4	-5.2	-1.0
48	-4.1	-3.1	-2.7	-2.0	-3.0	-4.1	-4.8	-4.0	-2.9	-4.0	-4.6	-1.0
49	-3.7	-2.9	-2.3	-1.7	-2.8	-3.7	-4.4	-3.8	-2.6	-3.5	-4.1	-1.0
50	-3.2	-2.6	-1.8	-1.4	-2.7	-3.2	-3.9	-3.6	-2.3	-3.0	-3.6	-1.0
51	-2.8	-2.2	-1.3	-0.9	-2.5	-2.7	-3.5	-3.3	-2.0	-2.6	-3.3	-1.0
52	-2.5	-1.9	-0.7	-0.4	-2.3	-2.3	-3.1	-3.0	-1.7	-2.2	-2.8	-1.0
53	-2.1	-1.6	0.0	0.2	-2.0	-1.7	-2.5	-2.5	-1.4	-1.7	-2.3	-1.0
54	-1.7	-1.1	0.9	1.0	-1.6	-1.0	-1.8	-1.7	-1.0	-1.0	-1.7	-1.0
55	-1.1	-0.6	1.9	2.0	-0.9	-0.2	-1.0	-0.8	-0.4	-0.2	-0.8	-1.0
56	-0.3	0.2	3.1	3.0	-0.1	0.7	-0.0	0.4	0.4	0.8	0.2	-1.0
57	0.7	1.1	4.4	4.1	0.9	1.7	1.1	1.6	1.4	1.9	1.3	-1.0
58	1.9	2.1	5.7	5.1	2.0	2.7	2.2	2.7	2.5	3.2	2.4	-1.0
59	3.1	3.2	6.9	5.9	3.2	3.6	3.2	3.7	3.6	4.3	3.3	-1.0
60	4.2	4.2	7.9	6.4	4.3	4.3	4.0	4.4	4.7	5.3	4.0	-1.0
61	5.1	5.1	8.6	6.6	5.2	4.8	4.6	4.9	5.5	6.1	4.4	-1.0
62	5.8	5.9	9.1	6.6	5.8	5.2	5.0	5.2	6.1	6.6	4.5	-1.0
63	6.2	6.3	9.3	6.5	6.2	5.3	5.1	5.3	6.5	6.9	4.5	-1.0
64	6.4	6.6	9.3	6.2	6.3	5.4	5.2	5.2	6.7	7.1	4.4	-1.0
65	6.4	6.6	9.2	5.9	6.1	5.4	5.1	5.2	6.7	7.1	4.2	-1.0
66	6.2	6.5	8.9	5.6	5.8	5.3	4.9	5.1	6.5	7.0	4.0	-1.0
67	6.0	6.3	8.6	5.2	5.5	5.2	4.8	5.0	6.4	6.8	3.9	-1.0
68	5.8	6.1	8.3	4.9	5.1	5.0	4.6	4.9	6.1	6.7	3.8	-1.0
69	5.6	5.8	7.9	4.5	4.6	4.8	4.4	4.8	5.9	6.5	3.7	-1.0
70	5.4	5.5	7.6	4.2	4.2	4.6	4.3	4.7	5.7	6.3	3.7	-1.0
71	5.1	5.2	7.2	3.8	3.7	4.3	4.1	4.5	5.4	6.1	3.5	-1.0
72	4.8	4.9	6.9	3.5	3.3	4.0	3.8	4.2	5.2	5.8	3.4	-1.0
73	4.4	4.5	6.5	3.1	2.8	3.6	3.6	3.9	4.9	5.4	3.2	-1.0
74	4.0	4.1	6.1	2.6	2.4	3.3	3.4	3.6	4.6	5.0	2.9	-1.0
75	3.5	3.6	5.7	2.2	2.0	2.9	3.2	3.2	4.3	4.6	2.7	-1.0
76	3.1	3.1	5.3	1.7	1.6	2.5	2.9	2.7	4.0	4.1	2.4	-1.0
77	2.6	2.6	4.8	1.3	1.2	2.0	2.7	2.3	3.6	3.7	2.1	-1.0
78	2.1	2.1	4.4	0.9	0.9	1.6	2.4	1.8	3.2	3.2	1.7	-1.0
79	1.6	1.6	3.9	0.6	0.7	1.3	2.1	1.4	2.8	2.7	1.4	-1.0
80	1.2	1.2	3.5	0.3	0.4	0.9	1.8	1.0	2.4	2.3	1.0	-1.0
81	0.8	0.8	3.1	-0.0	0.2	0.6	1.5	0.7	2.0	1.9	0.7	-1.0
82	0.4	0.5	2.8	-0.3	0.1	0.3	1.2	0.4	1.7	1.5	0.3	-1.0
83	0.1	0.2	2.4	-0.6	-0.0	0.2	0.9	0.1	1.3	1.1	0.1	-1.0
84	-0.2	-0.0	2.2	-0.9	-0.1	0.1	0.7	0.0	1.1	0.9	-0.2	-1.0
85	-0.4	-0.2	2.0	-1.1	-0.0	0.1	0.6	-0.0	0.9	0.6	-0.3	-1.0
86	-0.6	-0.3	1.8	-1.3	0.0	0.1	0.5	-0.0	0.8	0.5	-0.5	-1.0
87	-0.8	-0.4	1.7	-1.4	0.1	0.2	0.6	0.1	0.7	0.4	-0.5	-1.0
88	-0.9	-0.4	1.6	-1.5	0.3	0.3	0.8	0.2	0.8	0.3	-0.6	-1.0
89	-0.9	-0.3	1.6	-1.6	0.5	0.4	1.0	0.4	0.9	0.3	-0.6	-1.0
90	-0.9	-0.2	1.6	-1.6	0.8	0.5	1.2	0.5	1.1	0.2	-0.6	-1.0
91	-0.9	-0.1	1.7	-1.6	1.1	0.5	1.4	0.7	1.4	0.2	-0.6	-1.0
92	-0.9	-0.0	1.7	-1.6	1.3	0.5	1.6	0.7	1.5	0.1	-0.6	-1.0
93	-1.0	0.0	1.7	-1.7	1.6	0.3	1.8	0.7	1.6	-0.1	-0.7	-1.0
94	-1.1	0.0	1.5	-1.8	1.7	0.1	1.9	0.5	1.6	-0.3	-0.9	-1.0
95	-1.3	-0.1	1.3	-2.0	1.7	-0.2	2.0	0.3	1.4	-0.7	-1.1	-1.0
96	-1.7	-0.2	1.0	-2.3	1.6	-0.6	1.9	-0.0	1.0	-1.2	-1.5	-1.0
97	-2.1	-0.5	0.7	-2.6	1.5	-1.1	1.7	-0.4	0.5	-1.8	-1.9	-1.0
98	-2.6	-0.8	0.2	-2.9	1.2	-1.6	1.4	-0.9	-0.2	-2.4	-2.3	-1.0
99	-3.1	-1.2	-0.3	-3.2	0.8	-2.1	1.0	-1.3	-1.0	-3.1	-2.8	-1.0
100	-3.6	-1.6	-0.8	-3.6	0.4	-2.6	0.6	-1.8	-1.8	-3.7	-3.4	-1.0
101	-4.2	-2.0	-1.4	-4.1	-0.1	-3.1	0.1	-2.3	-2.6	-4.3	-4.0	-1.0
