	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
53	2.2	2.3	2.2	2.8	3.0	2.3	2.8	3.6	2.4	2.6	2.5	1.8
54	2.6	1.9	2.2	2.8	3.5	2.3	2.8	3.2	2.3	3.2	2.6	2.0
55	2.8	1.9	2.2	3.5	3.5	2.4	2.7	2.8	2.5	3.5	2.3	2.1
56	2.9	2.2	2.4	3.6	3.5	1.8	2.5	2.6	2.4	3.5	2.4	2.2
57	2.7	2.6	2.4	3.9	4.0	1.8	2.6	2.3	1.8	3.2	2.5	2.1
58	2.6	2.4	2.1	4.0	4.0	2.1	2.5	1.8	2.0	3.0	2.4	2.3
59	2.2	2.7	2.2	3.6	4.2	2.2	2.2	1.8	2.0	2.6	3.0	2.1
60	1.7	2.7	2.4	3.7	3.9	2.2	2.0	1.8	2.0	2.2	2.8	2.8
61	2.4	2.8	3.6	3.2	3.9	2.3	1.9	2.3	1.9	1.8	2.9	3.0
62	3.0	2.6	3.6	4.0	3.9	2.6	1.9	2.5	2.2	1.9	2.9	3.7
63	3.1	2.4	3.9	3.6	3.7	2.8	2.0	2.7	2.0	2.2	3.2	3.8
64	3.2	2.2	4.1	3.9	3.3	3.0	2.6	2.8	2.3	2.6	3.1	4.5
65	3.3	2.3	4.0	4.3	3.1	3.2	3.0	2.6	2.3	2.7	2.9	4.3
66	3.1	2.3	3.4	4.4	3.2	3.2	2.9	2.7	2.3	2.9	2.9	4.5
67	2.9	2.0	3.1	4.1	3.1	3.2	3.3	3.0	3.2	3.2	3.2	4.4
68	4.1	2.8	3.3	3.9	2.6	3.1	3.4	3.6	4.2	3.2	3.4	4.4
69	4.5	2.9	3.2	4.4	3.1	3.6	3.8	3.9	4.7	4.1	3.0	3.9
70	4.9	2.9	3.5	4.0	3.3	3.6	3.5	4.5	4.6	4.2	2.9	3.9
71	4.9	3.1	3.5	4.1	3.3	4.0	3.4	4.6	4.6	4.3	3.7	3.6
72	5.4	3.3	3.2	4.1	3.3	4.1	3.3	4.5	4.6	4.5	4.3	3.1
73	5.3	3.0	3.0	4.2	3.5	4.2	3.2	3.9	3.8	4.4	4.1	2.9
74	5.4	2.8	2.6	3.8	4.1	3.8	2.6	3.9	3.3	3.7	4.1	3.3
75	4.8	2.6	2.2	3.4	4.0	3.2	2.5	3.6	3.3	3.5	4.2	3.1
76	4.7	2.4	1.5	3.4	4.3	3.1	2.4	3.2	3.3	3.3	3.5	3.1
77	4.2	2.0	1.6	3.0	4.1	2.3	2.3	3.3	3.3	3.1	2.9	3.4
78	4.0	1.7	1.6	2.5	4.4	2.2	2.2	3.7	3.3	3.2	3.0	3.1
79	2.4	1.6	2.0	2.8	4.4	2.2	2.0	3.6	3.1	3.1	4.2	2.4
80	2.5	1.9	2.4	3.0	3.9	2.9	2.4	3.1	2.8	3.0	4.9	2.5
81	2.6	2.5	2.5	2.9	3.9	4.9	2.5	3.3	2.9	2.9	4.9	2.3
82	2.9	3.1	2.4	2.9	3.7	5.1	3.0	3.3	3.0	2.3	5.0	2.3
83	2.8	3.1	2.6	2.9	3.8	5.5	3.0	2.5	3.2	2.1	4.9	2.2
84	2.8	3.3	2.8	2.8	3.2	5.5	3.1	2.5	3.0	2.0	3.7	2.3
85	2.7	4.4	2.7	2.5	3.6	5.3	3.0	2.3	3.0	1.8	3.5	2.1
86	2.6	4.4	2.8	2.4	3.4	4.8	2.6	1.7	2.8	1.9	2.8	2.2
87	2.7	4.5	2.8	2.6	3.1	3.4	2.4	2.0	2.8	2.7	3.6	1.8
88	2.8	4.4	2.9	2.9	2.7	3.2	2.0	2.1	2.7	3.0	3.8	1.8
89	3.1	4.4	2.9	3.1	2.6	3.1	2.3	2.7	2.2	3.0	4.0	2.1
90	3.3	4.0	2.9	3.0	2.5	2.8	2.5	2.7	2.6	3.1	4.7	2.5
91	3.6	3.0	3.3	3.0	2.0	2.8	2.6	3.3	2.7	3.2	4.8	2.5
92	3.6	3.1	3.3	3.0	1.9	2.8	2.5	3.4	3.0	2.6	4.2	2.5
93	3.4	2.9	3.3	2.7	2.1	2.8	2.7	3.9	2.9	2.3	3.9	2.4
94	3.1	3.3	3.1	2.4	2.1	2.4	2.8	3.5	2.9	2.1	3.6	2.4
95	3.1	3.3	3.1	2.2	2.1	2.0	2.8	3.5	3.2	1.9	3.5	2.0
96	3.1	3.3	2.5	2.8	2.3	2.0	2.6	3.1	2.9	1.9	2.6	1.9
97	2.7	3.2	2.4	2.9	2.6	2.1	2.5	3.2	2.7	2.2	2.5	1.9
98	3.0	3.2	2.0	2.9	2.6	2.1	2.4	2.8	2.7	2.8	2.6	2.1
99	2.8	2.7	1.9	3.0	3.0	1.7	2.1	2.8	2.9	3.2	2.4	2.1
100	2.6	2.7	1.7	3.0	3.0	1.9	1.9	2.8	2.5	3.2	2.6	2.6
101	2.8	2.7	1.9	2.7	3.2	2.2	2.1	2.8	2.5	3.2	2.6	2.6
