	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior	Left Tibialis Anterior
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
65	90.9	87.2	60.5	142.4	63.5	61.9	97.9	66.4	61.1	26.1
66	83.2	54.6	71.4	130.2	64.1	56.5	97.5	60.2	53.4	26.5
67	48.7	51.1	73.0	122.5	65.2	57.4	99.8	62.4	46.2	29.7
68	51.0	57.9	64.2	113.6	61.4	54.0	94.6	54.3	34.3	31.9
69	57.4	62.5	60.5	127.6	66.6	47.7	57.8	51.6	40.0	38.1
70	68.6	71.3	60.2	85.7	54.8	46.6	59.7	53.7	50.6	36.5
71	72.2	70.9	67.6	85.8	51.5	48.9	63.1	59.7	53.1	36.2
72	70.2	68.9	59.7	95.2	62.3	47.3	61.6	68.1	56.9	35.2
73	70.4	68.9	58.7	100.1	66.6	61.9	58.2	66.1	60.9	33.1
74	69.5	45.6	57.6	91.0	81.2	60.5	54.8	74.7	61.7	30.0
75	58.6	38.4	58.2	74.2	76.7	57.5	55.9	75.7	54.2	34.3
76	37.8	21.3	57.9	73.7	73.2	68.1	46.2	77.0	51.0	44.1
77	32.2	21.4	73.7	64.9	71.1	70.2	41.6	66.3	45.4	45.1
78	34.0	33.2	75.6	69.1	65.9	69.6	42.4	61.8	36.5	52.1
79	31.3	50.4	73.0	63.3	57.8	55.5	45.7	57.8	34.0	54.6
80	28.9	65.2	74.8	66.1	36.2	55.4	45.1	45.6	27.4	63.9
81	28.8	67.1	73.5	66.1	38.0	52.0	43.7	37.1	41.0	62.8
82	28.1	84.3	68.0	65.0	36.8	31.5	43.4	35.5	43.5	62.7
83	25.1	84.0	44.3	61.5	22.3	16.6	34.6	39.9	42.2	62.5
84	41.1	87.9	43.8	33.5	18.3	14.8	34.7	52.1	45.5	62.9
85	45.0	91.4	43.0	30.6	19.1	14.4	30.0	51.0	46.9	50.3
86	45.6	84.0	38.5	25.4	15.8	14.9	22.0	52.5	36.4	44.6
87	45.3	87.4	36.9	27.5	9.3	12.3	20.5	54.2	29.8	40.6
88	43.9	75.6	57.8	29.9	11.1	19.1	20.1	54.9	28.0	35.6
89	45.3	78.4	54.3	28.5	11.6	22.8	12.1	39.4	26.6	15.9
90	28.9	60.3	53.2	28.2	12.0	37.1	10.7	31.9	17.0	10.4
91	20.5	53.8	55.1	23.6	10.9	46.6	8.4	31.6	16.5	9.5
92	18.2	50.4	54.3	21.2	11.1	49.4	9.0	33.2	13.9	8.8
93	18.4	33.0	47.7	17.2	8.1	49.7	8.7	40.2	12.6	6.8
94	17.5	26.1	24.0	17.9	8.9	51.6	9.2	41.3	10.2	12.2
95	13.5	13.4	19.6	18.5	7.6	50.3	10.3	42.6	10.0	16.1
96	13.8	5.5	18.1	24.6	6.3	37.1	10.0	41.0	9.8	15.7
97	12.2	8.5	8.5	26.8	6.4	29.8	13.0	42.5	10.5	16.1
98	13.0	9.9	10.7	27.8	8.8	30.0	19.3	36.7	12.6	20.3
99	13.2	10.6	14.1	28.2	13.7	27.3	22.4	25.7	13.2	21.0
100	10.9	12.5	18.5	28.7	14.6	20.7	23.8	19.2	13.7	18.9
101	14.0	13.3	22.1	29.5	15.8	21.3	24.5	19.1	15.5	19.0
