	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
54	8.2	5.4	5.2	5.8	4.8	5.6	4.1	5.5	4.5	5.9	3.9	4.8
55	8.3	5.5	7.6	5.7	4.6	6.9	4.5	5.0	4.5	5.4	3.4	4.5
56	8.5	4.5	8.6	8.4	4.5	6.6	4.6	4.9	5.5	5.3	3.6	4.2
57	8.8	6.4	12.5	8.3	4.9	6.8	5.4	4.9	8.6	4.7	4.9	4.7
58	11.7	10.4	12.7	8.9	4.9	6.8	10.4	4.4	8.8	4.3	6.0	4.6
59	14.0	12.9	17.4	14.2	6.0	6.9	10.6	14.7	8.8	6.2	8.9	4.2
60	19.3	13.8	28.3	22.2	13.5	7.0	14.9	15.8	14.7	8.3	13.2	5.5
61	26.8	15.0	28.7	25.9	22.6	11.4	14.9	18.4	15.1	14.0	16.1	9.1
62	39.9	24.0	35.1	30.5	30.8	12.8	15.3	23.9	14.8	17.7	16.9	9.4
63	45.6	24.2	46.6	37.6	33.5	25.3	21.2	31.4	24.4	20.3	20.6	14.1
64	52.2	28.1	50.5	42.0	39.1	27.2	24.6	31.7	26.7	26.4	20.4	18.5
65	62.0	42.3	51.5	44.2	47.5	37.5	26.1	34.5	33.2	33.7	21.3	25.3
66	70.3	52.4	52.2	47.3	60.5	47.7	44.5	45.5	46.5	37.2	47.2	26.7
67	74.5	53.3	56.0	53.1	76.6	58.1	47.2	43.3	52.9	36.4	71.4	30.7
68	75.0	52.5	46.1	50.0	78.4	61.2	55.9	40.3	51.2	40.7	72.8	35.1
69	102.4	60.0	43.1	48.3	79.0	59.1	57.1	48.3	55.1	44.5	75.6	41.8
70	108.6	59.2	41.4	47.2	83.9	62.7	58.4	52.5	58.8	61.7	83.3	50.5
71	102.7	57.8	40.0	48.3	79.8	69.7	58.9	48.5	56.0	72.6	78.1	55.8
72	93.8	52.1	32.9	49.3	72.9	64.8	54.7	53.5	49.1	78.1	50.0	56.4
73	95.0	53.0	30.4	48.7	68.4	72.7	57.3	54.9	50.6	79.6	49.6	66.7
74	88.1	52.0	28.0	51.3	67.0	74.4	50.1	55.5	58.0	83.1	45.2	71.7
75	50.0	40.2	31.4	50.2	64.5	71.8	63.8	55.1	57.9	71.3	27.9	72.5
76	57.4	29.5	35.5	47.9	54.4	67.4	65.2	46.6	58.1	63.4	35.1	64.5
77	57.5	27.9	34.3	44.0	56.4	57.6	60.0	43.0	52.3	49.0	36.3	64.1
78	51.5	23.4	33.3	33.6	51.6	52.2	56.7	37.3	57.0	45.6	33.7	60.2
79	56.1	21.6	31.2	26.5	29.7	27.8	50.2	31.6	56.6	28.0	33.7	45.9
80	54.6	18.8	29.5	25.6	26.8	24.3	42.1	18.1	39.4	26.2	34.2	36.4
81	33.6	16.7	33.3	21.8	25.3	24.1	19.4	17.9	36.3	25.8	31.1	32.1
82	28.2	15.0	25.4	15.8	24.5	22.2	18.0	14.3	36.5	23.2	16.3	34.0
83	27.9	12.5	27.8	15.8	7.8	6.7	12.4	11.4	33.0	12.4	13.6	28.9
84	6.3	11.1	30.6	14.2	7.1	6.3	8.5	11.9	18.0	8.8	12.7	19.3
85	5.2	10.9	30.8	9.3	6.3	6.1	5.3	8.8	15.6	8.6	13.5	17.9
86	4.6	8.6	22.0	10.9	4.9	6.0	4.5	13.0	13.0	7.6	11.4	15.2
87	4.2	6.6	20.2	15.7	4.5	5.8	4.5	46.8	8.1	7.5	23.4	6.3
88	4.9	6.3	19.3	14.9	4.0	5.7	4.5	56.7	9.0	6.5	24.4	5.0
89	4.8	6.1	14.2	14.4	2.9	5.7	4.5	58.8	8.8	3.7	24.4	4.6
90	4.1	6.3	8.4	14.4	2.5	5.4	4.6	59.2	8.4	3.5	23.7	3.6
91	5.2	6.1	7.5	14.1	3.0	5.2	4.2	58.7	7.1	4.2	22.6	3.0
92	5.7	5.3	5.3	5.8	4.9	5.1	4.2	53.2	6.9	4.3	18.3	2.6
93	5.4	5.0	5.6	5.4	5.4	4.1	4.2	25.1	5.2	4.8	5.7	2.2
94	6.9	5.0	6.2	4.5	5.6	4.2	4.4	13.2	4.7	5.1	3.0	2.8
95	7.2	4.8	4.9	4.6	6.7	4.5	4.5	6.2	4.3	5.5	3.1	2.8
96	7.6	4.7	5.3	5.2	7.5	4.5	4.5	6.2	4.7	5.4	3.4	3.0
97	7.4	4.9	5.2	5.7	7.9	4.6	5.2	6.7	4.7	6.0	3.2	3.1
98	7.7	4.5	5.7	5.6	8.0	4.2	5.4	6.6	4.1	6.2	3.4	7.0
99	6.6	4.3	5.0	5.8	8.1	3.6	6.6	8.3	5.2	8.2	5.3	7.2
100	6.5	4.4	5.4	5.5	8.4	3.2	7.2	8.1	5.2	7.9	6.6	8.6
101	6.8	4.4	5.4	5.8	7.7	3.0	7.6	8.9	5.3	8.1	6.7	8.4
