	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus	Left Soleus
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
66	29.8	57.1	44.4	59.7	44.8	41.8	35.1	39.9	32.2	47.5
67	26.5	52.6	49.7	59.0	46.3	41.6	50.4	41.4	37.0	39.1
68	22.4	54.2	51.8	58.5	51.4	47.6	53.5	48.1	36.5	36.5
69	37.3	54.7	53.1	56.5	46.3	46.4	56.1	35.9	31.4	37.3
70	38.5	56.6	47.7	52.5	51.6	46.7	56.1	34.0	35.8	31.6
71	36.9	39.9	42.2	42.0	46.4	45.0	58.0	46.7	40.2	44.0
72	38.2	29.8	54.2	39.8	49.0	38.9	59.0	48.0	42.2	61.3
73	38.6	29.8	53.6	40.3	53.1	36.5	47.0	46.2	46.1	62.9
74	38.0	35.2	62.3	44.1	53.4	29.9	38.9	49.4	53.3	61.4
75	22.3	38.3	64.7	43.2	49.5	26.2	37.4	49.5	48.7	62.1
76	25.8	34.7	64.5	41.8	42.9	23.5	41.8	50.9	45.6	63.5
77	26.3	34.3	62.6	36.6	40.3	24.7	33.8	43.0	46.0	42.1
78	26.6	32.6	44.8	29.3	36.3	22.9	30.0	43.0	38.6	43.2
79	29.3	30.4	40.8	34.2	27.9	22.2	28.3	42.4	28.5	52.9
80	35.1	24.8	15.0	29.4	10.9	21.0	28.4	39.0	24.2	54.6
81	35.3	24.0	12.0	31.9	9.8	19.7	29.7	43.9	24.0	51.6
82	33.0	25.1	11.8	31.5	9.3	17.1	25.6	39.7	25.0	51.1
83	32.8	25.1	11.4	31.4	4.2	13.2	24.7	44.7	11.9	48.8
84	31.1	25.3	13.5	31.0	2.9	4.7	24.2	46.5	10.5	57.6
85	29.0	22.7	12.1	21.7	2.8	2.9	24.2	43.2	10.6	48.1
86	23.0	13.6	11.3	18.7	2.7	2.9	15.1	41.5	10.6	41.9
87	22.2	14.2	9.7	4.8	2.6	2.5	9.5	36.0	9.5	41.0
88	18.1	12.1	9.9	4.9	2.5	2.7	3.2	32.1	5.8	39.3
89	16.8	11.2	9.2	7.1	3.6	3.0	3.4	18.6	6.0	14.8
90	17.3	10.6	5.0	7.4	3.6	2.9	4.1	8.2	6.0	4.6
91	12.7	7.5	4.3	7.7	4.1	2.6	4.6	8.0	5.5	4.8
92	8.7	6.2	4.1	8.4	5.0	2.7	4.6	7.9	7.2	6.2
93	8.4	5.5	4.6	9.4	5.2	4.5	4.9	7.7	7.3	6.5
94	8.3	5.3	4.1	9.7	5.5	5.9	5.6	4.6	7.1	7.2
95	8.3	5.5	5.0	9.0	5.4	6.9	5.8	5.7	8.0	7.4
96	4.0	6.1	5.1	8.9	5.9	7.6	6.2	6.3	8.0	7.4
97	3.0	6.7	5.9	8.7	5.8	8.3	6.2	5.9	7.2	6.7
98	3.0	7.3	6.7	8.8	8.8	9.7	6.6	5.6	7.3	7.2
99	3.6	10.6	6.6	11.0	8.9	11.3	9.1	7.8	7.8	6.6
100	3.8	10.4	6.5	10.7	8.9	11.0	8.7	8.3	7.3	6.2
101	5.2	10.3	9.3	10.8	11.5	10.7	8.6	8.8	8.1	6.5
