	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1	L_FM1
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
45	0.0387	0.0305	0.0316	0.0329	0.0355	0.0319	0.0355	0.0369	0.0315	0.0311	0.0345	0.0330
46	0.0386	0.0305	0.0313	0.0328	0.0354	0.0319	0.0354	0.0369	0.0314	0.0310	0.0344	0.0330
47	0.0385	0.0305	0.0311	0.0328	0.0353	0.0318	0.0354	0.0368	0.0313	0.0307	0.0343	0.0330
48	0.0385	0.0305	0.0310	0.0327	0.0352	0.0318	0.0353	0.0367	0.0312	0.0306	0.0342	0.0330
49	0.0384	0.0306	0.0310	0.0328	0.0352	0.0319	0.0353	0.0366	0.0312	0.0305	0.0342	0.0330
50	0.0384	0.0307	0.0309	0.0328	0.0353	0.0320	0.0354	0.0366	0.0312	0.0305	0.0343	0.0330
51	0.0383	0.0308	0.0309	0.0329	0.0354	0.0322	0.0355	0.0367	0.0312	0.0306	0.0344	0.0330
52	0.0384	0.0309	0.0310	0.0330	0.0354	0.0324	0.0356	0.0368	0.0314	0.0307	0.0346	0.0330
53	0.0384	0.0309	0.0312	0.0332	0.0355	0.0324	0.0358	0.0369	0.0315	0.0308	0.0348	0.0330
54	0.0385	0.0310	0.0313	0.0333	0.0354	0.0325	0.0360	0.0369	0.0316	0.0310	0.0350	0.0330
55	0.0386	0.0311	0.0315	0.0333	0.0353	0.0325	0.0361	0.0368	0.0316	0.0312	0.0352	0.0330
56	0.0387	0.0312	0.0317	0.0333	0.0353	0.0326	0.0362	0.0367	0.0316	0.0314	0.0355	0.0330
57	0.0388	0.0313	0.0319	0.0332	0.0351	0.0327	0.0363	0.0365	0.0315	0.0315	0.0357	0.0330
58	0.0389	0.0313	0.0321	0.0331	0.0350	0.0330	0.0363	0.0362	0.0314	0.0316	0.0361	0.0330
59	0.0391	0.0313	0.0323	0.0333	0.0350	0.0340	0.0365	0.0361	0.0314	0.0319	0.0367	0.0330
60	0.0395	0.0313	0.0328	0.0340	0.0354	0.0359	0.0372	0.0366	0.0318	0.0325	0.0376	0.0330
61	0.0403	0.0317	0.0340	0.0357	0.0370	0.0395	0.0390	0.0384	0.0331	0.0339	0.0391	0.0330
62	0.0419	0.0328	0.0363	0.0389	0.0402	0.0448	0.0424	0.0422	0.0359	0.0366	0.0416	0.0330
63	0.0448	0.0354	0.0403	0.0441	0.0454	0.0517	0.0476	0.0480	0.0409	0.0410	0.0455	0.0330
64	0.0496	0.0398	0.0464	0.0508	0.0523	0.0593	0.0541	0.0555	0.0476	0.0472	0.0511	0.0330
65	0.0564	0.0460	0.0538	0.0583	0.0601	0.0667	0.0620	0.0637	0.0554	0.0547	0.0579	0.0330
66	0.0646	0.0534	0.0618	0.0660	0.0683	0.0739	0.0702	0.0723	0.0635	0.0625	0.0656	0.0330
67	0.0731	0.0614	0.0692	0.0733	0.0757	0.0801	0.0781	0.0803	0.0710	0.0704	0.0730	0.0330
68	0.0813	0.0693	0.0763	0.0800	0.0820	0.0857	0.0854	0.0871	0.0777	0.0776	0.0796	0.0330
69	0.0884	0.0767	0.0825	0.0856	0.0868	0.0904	0.0909	0.0925	0.0832	0.0835	0.0851	0.0330
70	0.0942	0.0828	0.0877	0.0898	0.0899	0.0932	0.0950	0.0963	0.0872	0.0878	0.0894	0.0330
71	0.0983	0.0873	0.0913	0.0925	0.0916	0.0949	0.0976	0.0984	0.0894	0.0903	0.0920	0.0330
72	0.1008	0.0903	0.0932	0.0939	0.0920	0.0949	0.0990	0.0994	0.0902	0.0912	0.0934	0.0330
73	0.1020	0.0917	0.0936	0.0940	0.0912	0.0938	0.0993	0.0990	0.0896	0.0913	0.0937	0.0330
74	0.1021	0.0920	0.0927	0.0931	0.0895	0.0917	0.0984	0.0974	0.0879	0.0906	0.0930	0.0330
75	0.1010	0.0910	0.0909	0.0912	0.0868	0.0887	0.0963	0.0944	0.0853	0.0887	0.0915	0.0330
76	0.0988	0.0890	0.0883	0.0886	0.0833	0.0849	0.0934	0.0905	0.0819	0.0861	0.0891	0.0330
77	0.0955	0.0860	0.0852	0.0854	0.0792	0.0806	0.0897	0.0857	0.0777	0.0826	0.0861	0.0330
78	0.0914	0.0822	0.0818	0.0819	0.0748	0.0760	0.0853	0.0803	0.0732	0.0787	0.0826	0.0330
79	0.0866	0.0778	0.0783	0.0784	0.0705	0.0714	0.0803	0.0745	0.0686	0.0747	0.0788	0.0330
80	0.0815	0.0730	0.0747	0.0748	0.0663	0.0670	0.0749	0.0686	0.0641	0.0708	0.0749	0.0330
81	0.0762	0.0682	0.0711	0.0714	0.0627	0.0631	0.0694	0.0631	0.0600	0.0670	0.0712	0.0330
82	0.0711	0.0636	0.0676	0.0684	0.0595	0.0600	0.0641	0.0585	0.0565	0.0637	0.0680	0.0330
83	0.0665	0.0594	0.0645	0.0660	0.0571	0.0579	0.0598	0.0551	0.0540	0.0612	0.0657	0.0330
84	0.0628	0.0560	0.0621	0.0645	0.0559	0.0571	0.0567	0.0534	0.0529	0.0599	0.0648	0.0330
85	0.0602	0.0537	0.0607	0.0641	0.0561	0.0579	0.0552	0.0535	0.0534	0.0601	0.0656	0.0330
86	0.0592	0.0527	0.0607	0.0651	0.0580	0.0606	0.0556	0.0556	0.0558	0.0623	0.0683	0.0330
87	0.0599	0.0533	0.0625	0.0677	0.0616	0.0651	0.0581	0.0598	0.0602	0.0665	0.0732	0.0330
88	0.0626	0.0559	0.0660	0.0719	0.0668	0.0714	0.0628	0.0657	0.0666	0.0725	0.0802	0.0330
89	0.0673	0.0604	0.0710	0.0780	0.0739	0.0794	0.0696	0.0730	0.0751	0.0806	0.0894	0.0330
90	0.0737	0.0669	0.0779	0.0856	0.0826	0.0890	0.0783	0.0814	0.0854	0.0902	0.1002	0.0330
91	0.0818	0.0755	0.0858	0.0947	0.0925	0.0999	0.0885	0.0907	0.0969	0.1013	0.1121	0.0330
92	0.0912	0.0857	0.0947	0.1046	0.1031	0.1114	0.0994	0.1002	0.1089	0.1132	0.1241	0.0330
93	0.1016	0.0969	0.1038	0.1144	0.1136	0.1227	0.1105	0.1095	0.1203	0.1249	0.1353	0.0330
94	0.1121	0.1084	0.1126	0.1232	0.1230	0.1325	0.1208	0.1177	0.1297	0.1352	0.1439	0.0330
95	0.1217	0.1189	0.1201	0.1299	0.1301	0.1392	0.1289	0.1238	0.1359	0.1425	0.1484	0.0330
96	0.1291	0.1269	0.1254	0.1335	0.1339	0.1417	0.1335	0.1269	0.1380	0.1453	0.1479	0.0330
97	0.1328	0.1312	0.1274	0.1335	0.1339	0.1397	0.1339	0.1265	0.1357	0.1433	0.1427	0.0330
98	0.1320	0.1312	0.1257	0.1297	0.1300	0.1337	0.1302	0.1224	0.1297	0.1369	0.1341	0.0330
99	0.1265	0.1269	0.1203	0.1221	0.1229	0.1248	0.1232	0.1154	0.1209	0.1275	0.1233	0.0330
100	0.1173	0.1194	0.1118	0.1118	0.1134	0.1139	0.1138	0.1060	0.1100	0.1159	0.1109	0.0330
101	0.1056	0.1094	0.1010	0.0997	0.1028	0.1025	0.1028	0.0954	0.0991	0.1032	0.0993	0.0330
