	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris	Left Biceps Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X
66	5.5	5.2	3.9	5.7	3.9	2.9	4.3	3.1	2.4	2.6
67	5.5	5.2	3.9	6.4	3.6	2.0	4.0	3.2	2.2	3.4
68	5.5	5.3	4.1	6.6	3.4	2.0	3.0	3.3	2.4	3.2
69	4.8	4.6	5.8	8.2	3.1	2.6	3.5	3.3	2.3	3.5
70	5.5	4.4	5.9	8.0	3.0	2.8	3.3	3.2	3.1	3.9
71	5.4	4.3	6.9	8.4	3.5	2.9	3.6	3.7	3.3	4.5
72	5.2	3.8	6.8	7.7	3.5	2.8	3.6	3.2	3.3	4.5
73	4.9	3.8	7.0	7.3	3.5	2.9	4.1	3.0	3.7	4.4
74	5.0	4.1	7.3	6.7	3.8	2.2	3.7	3.0	3.9	4.1
75	5.6	4.1	6.1	4.6	3.9	1.9	3.4	3.3	4.3	3.8
76	4.9	4.0	6.9	4.8	3.9	1.8	3.1	2.8	3.7	3.1
77	4.5	3.8	6.3	4.1	3.6	1.9	3.0	3.6	3.8	2.3
78	4.5	4.0	6.2	3.5	3.7	2.0	3.0	3.5	3.5	2.4
79	4.5	5.2	5.6	4.7	3.8	2.0	2.6	3.5	3.1	2.4
80	5.5	5.0	5.3	4.6	3.7	2.0	2.7	3.5	2.6	2.5
81	5.9	6.1	5.2	4.9	3.8	2.2	2.7	3.4	2.5	2.3
82	6.1	6.3	4.1	4.8	3.5	2.7	3.4	3.5	2.5	2.4
83	6.2	6.3	4.0	4.8	3.2	3.5	3.6	3.3	2.4	2.4
84	6.2	6.6	4.7	5.0	2.9	3.8	3.4	3.4	2.2	2.4
85	6.2	5.9	5.4	4.2	2.9	5.0	3.5	3.4	2.2	2.6
86	5.3	6.5	5.3	4.1	2.4	5.1	3.4	3.4	2.0	2.6
87	4.2	6.5	5.7	4.5	2.5	5.0	3.1	3.3	2.1	2.9
88	3.7	6.5	5.7	6.0	2.5	4.8	2.5	2.6	2.1	2.6
89	3.5	6.1	5.7	6.1	2.5	4.2	2.5	2.6	1.9	2.6
90	3.5	5.6	5.1	6.3	2.5	4.3	2.5	2.9	1.9	2.5
91	3.6	5.9	4.4	6.3	2.4	3.6	2.5	3.1	2.0	2.5
92	4.5	4.2	4.1	6.5	2.1	3.8	2.7	3.6	2.2	3.2
93	4.3	4.7	3.2	6.1	2.2	3.9	2.8	4.1	2.2	3.4
94	4.3	4.7	4.3	4.6	2.9	3.8	2.9	4.1	2.7	4.0
95	5.3	5.1	4.4	5.6	3.0	4.0	2.8	3.8	2.9	3.9
96	5.6	5.8	4.4	6.4	3.0	3.6	3.1	3.6	2.9	3.9
97	6.5	5.6	4.8	6.7	3.0	2.7	3.1	3.3	3.0	3.4
98	6.4	7.3	5.4	7.2	3.6	2.4	2.9	2.5	2.8	3.0
99	6.7	6.8	6.0	7.2	3.5	2.5	3.1	1.8	2.6	2.2
100	6.9	6.6	5.6	7.2	3.1	2.7	3.2	1.9	2.5	2.1
101	6.9	6.5	6.7	6.3	3.1	2.9	3.3	2.4	3.1	2.5
