	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
41	5.9	6.9	6.1	6.0	6.8	7.1	7.9	10.4	5.9	7.4	8.5	7.0	8.6	5.5
42	6.1	7.1	6.4	6.3	7.1	7.3	8.2	10.6	6.2	7.5	8.6	7.1	8.9	5.5
43	6.4	7.3	6.7	6.6	7.5	7.5	8.5	10.7	6.4	7.6	8.7	7.2	9.2	5.5
44	6.6	7.4	6.9	6.9	7.9	7.7	8.8	10.8	6.7	7.6	8.8	7.3	9.5	5.5
45	6.7	7.5	7.1	7.3	8.2	7.9	9.0	10.8	6.9	7.6	8.8	7.4	9.6	5.5
46	6.9	7.6	7.2	7.6	8.5	8.0	9.2	10.7	7.1	7.5	8.9	7.5	9.7	5.5
47	7.1	7.7	7.3	7.9	8.8	8.1	9.4	10.7	7.3	7.5	8.9	7.6	9.7	5.5
48	7.2	7.8	7.4	8.1	8.9	8.2	9.5	10.8	7.4	7.5	9.1	7.8	9.7	5.5
49	7.4	8.0	7.5	8.4	9.0	8.3	9.7	10.8	7.5	7.5	9.2	8.0	9.8	5.5
50	7.6	8.1	7.5	8.6	9.0	8.4	9.8	11.0	7.5	7.6	9.4	8.3	10.0	5.5
51	7.8	8.3	7.6	8.8	9.0	8.6	10.0	11.1	7.6	7.8	9.7	8.6	10.2	5.5
52	7.9	8.6	7.6	8.9	8.9	8.8	10.3	11.2	7.6	8.1	9.8	8.8	10.4	5.5
53	8.1	8.8	7.7	9.0	8.8	8.9	10.5	11.2	7.7	8.4	9.9	9.0	10.5	5.5
54	8.1	9.0	7.8	9.1	8.6	9.1	10.6	11.1	7.7	8.6	9.8	9.1	10.4	5.5
55	8.0	9.0	7.8	9.0	8.4	9.1	10.7	10.9	7.6	8.7	9.5	9.0	10.0	5.5
56	7.8	9.0	7.7	8.8	8.2	9.0	10.6	10.4	7.5	8.6	8.9	8.7	9.4	5.5
57	7.5	8.8	7.6	8.5	7.9	8.8	10.3	9.8	7.2	8.4	8.2	8.3	8.6	5.5
58	7.2	8.4	7.4	8.1	7.7	8.6	9.9	9.1	6.9	8.0	7.4	7.9	7.6	5.5
59	6.9	8.0	7.1	7.7	7.5	8.4	9.4	8.3	6.6	7.5	6.6	7.4	6.7	5.5
60	6.7	7.6	6.7	7.3	7.3	8.1	8.8	7.5	6.2	7.0	5.8	7.1	5.9	5.5
61	6.6	7.2	6.4	6.9	7.2	8.0	8.3	6.8	6.0	6.6	5.2	6.8	5.3	5.5
62	6.5	6.9	6.1	6.7	7.2	7.9	7.7	6.3	5.7	6.2	4.7	6.6	5.0	5.5
