	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
43	-3.7	-4.7	-4.1	-4.7	-3.1	-4.1	-4.2	-3.4	-4.5	-3.2	-1.9	-6.9
44	-3.1	-4.3	-3.6	-4.2	-2.5	-3.4	-3.6	-2.5	-3.9	-2.5	-0.9	-6.9
45	-2.3	-3.7	-2.9	-3.5	-1.7	-2.6	-2.8	-1.5	-3.1	-1.7	0.2	-6.9
46	-1.5	-3.1	-2.2	-2.8	-0.8	-1.6	-1.9	-0.4	-2.1	-0.8	1.3	-6.9
47	-0.6	-2.3	-1.4	-1.9	0.3	-0.5	-0.8	0.7	-1.1	0.1	2.3	-6.9
48	0.3	-1.5	-0.5	-1.0	1.4	0.7	0.3	1.9	0.0	1.1	3.4	-6.9
49	1.2	-0.6	0.4	0.1	2.5	2.0	1.4	3.2	1.2	2.2	4.4	-6.9
50	2.3	0.4	1.4	1.2	3.8	3.4	2.6	4.5	2.4	3.3	5.4	-6.9
51	3.3	1.5	2.5	2.4	5.1	4.8	3.8	5.9	3.8	4.5	6.4	-6.9
52	4.5	2.7	3.7	3.7	6.5	6.4	5.2	7.4	5.2	5.8	7.5	-6.9
53	5.8	4.0	5.0	5.0	8.0	8.1	6.6	9.0	6.8	7.2	8.6	-6.9
54	7.2	5.5	6.5	6.6	9.7	9.9	8.2	10.7	8.5	8.7	9.8	-6.9
55	8.7	7.1	8.1	8.3	11.5	12.0	10.1	12.6	10.5	10.4	11.1	-6.9
56	10.4	8.9	10.0	10.2	13.6	14.4	12.1	14.7	12.6	12.3	12.5	-6.9
57	12.2	10.9	12.2	12.4	15.9	17.1	14.5	17.2	15.0	14.6	14.3	-6.9
58	14.4	13.3	14.6	14.9	18.6	20.3	17.2	20.0	17.8	17.1	16.3	-6.9
59	16.8	16.0	17.5	17.8	21.7	23.9	20.3	23.2	20.9	20.1	18.8	-6.9
60	19.7	19.1	20.7	21.1	25.3	27.8	23.8	26.9	24.4	23.6	21.7	-6.9
61	23.0	22.6	24.4	24.8	29.3	32.1	27.6	30.9	28.4	27.5	25.1	-6.9
62	26.7	26.6	28.5	28.8	33.6	36.6	31.8	35.2	32.7	31.7	28.9	-6.9
63	30.9	31.0	32.9	33.1	38.0	41.1	36.2	39.5	37.2	36.1	33.1	-6.9
64	35.3	35.5	37.4	37.5	42.3	45.4	40.6	43.9	41.7	40.7	37.5	-6.9
65	39.9	40.1	41.9	41.8	46.4	49.6	44.9	48.2	46.1	45.1	42.0	-6.9
66	44.4	44.5	46.3	46.1	50.4	53.5	49.1	52.3	50.2	49.5	46.5	-6.9
67	48.8	48.8	50.5	50.1	54.0	57.1	53.2	56.2	54.2	53.7	50.8	-6.9
68	53.1	52.7	54.4	53.8	57.2	60.3	56.9	59.6	57.8	57.6	54.9	-6.9
69	56.9	56.4	58.0	57.1	60.1	63.0	60.3	62.6	61.0	61.0	58.6	-6.9
70	60.4	59.6	61.1	59.9	62.5	65.2	63.2	65.0	63.8	63.9	61.7	-6.9
71	63.4	62.4	63.7	62.2	64.4	66.8	65.6	66.9	66.1	66.3	64.4	-6.9
72	65.8	64.6	65.8	64.1	65.8	67.8	67.5	68.1	67.8	68.0	66.4	-6.9
73	67.6	66.2	67.4	65.3	67.1	68.3	68.8	68.8	68.9	69.1	67.8	-6.9
74	68.8	67.3	68.3	66.0	67.4	68.3	69.5	68.9	69.5	69.6	68.5	-6.9
75	69.4	67.9	68.7	66.3	67.2	67.7	69.7	68.4	69.4	69.5	68.6	-6.9
76	69.4	67.9	68.6	65.9	66.4	66.7	69.3	67.3	68.7	68.9	68.1	-6.9
77	68.9	67.4	67.8	65.1	65.2	65.2	68.3	65.7	67.4	67.6	67.0	-6.9
78	67.8	66.4	66.5	63.8	63.5	63.2	66.8	63.6	65.6	65.9	65.4	-6.9
79	66.2	64.9	64.7	62.1	61.3	60.7	64.7	60.9	63.2	63.7	63.2	-6.9
80	64.1	62.9	62.5	59.8	58.7	57.8	62.1	57.7	60.4	61.0	60.5	-6.9
81	61.6	60.5	59.7	57.1	55.7	54.6	59.0	54.1	57.1	57.9	57.3	-6.9
82	58.5	57.7	56.5	54.0	52.3	50.9	55.4	50.0	53.4	54.4	53.5	-6.9
83	55.0	54.4	52.9	50.5	48.5	46.9	51.2	45.6	49.3	50.4	49.3	-6.9
84	51.0	50.8	48.8	46.5	44.4	42.6	46.7	40.8	44.8	46.0	44.7	-6.9
85	46.6	46.7	44.3	42.3	39.9	38.0	41.7	35.8	40.0	41.3	39.6	-6.9
86	41.8	42.2	39.6	37.7	35.2	33.1	36.5	30.7	34.8	36.2	34.3	-6.9
87	36.7	37.5	34.6	32.8	30.2	28.1	31.0	25.6	29.5	30.9	28.7	-6.9
88	31.4	32.4	29.4	27.8	25.0	23.0	25.4	20.5	24.0	25.4	23.1	-6.9
89	26.1	27.1	24.2	22.7	19.9	17.9	19.9	15.7	18.6	19.9	17.4	-6.9
