	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
47	-4.6	-5.2	-4.8	-5.9	-5.8	-7.0	-5.3	-5.1	-5.3	-4.2	-4.0	0.0
48	-5.5	-6.0	-5.7	-6.9	-7.0	-8.3	-6.3	-6.3	-6.3	-5.1	-4.8	0.0
49	-6.6	-6.9	-6.8	-8.1	-8.3	-9.8	-7.6	-7.7	-7.5	-6.3	-5.9	0.0
50	-7.9	-8.1	-8.1	-9.5	-9.9	-11.6	-9.1	-9.2	-8.9	-7.6	-7.1	0.0
51	-9.4	-9.4	-9.5	-11.2	-11.7	-13.6	-10.8	-11.0	-10.6	-9.2	-8.5	-0.0
52	-11.0	-10.9	-11.2	-13.1	-13.8	-15.9	-12.7	-13.0	-12.5	-11.0	-10.1	-0.0
53	-12.9	-12.7	-13.2	-15.2	-16.3	-18.4	-15.0	-15.4	-14.7	-13.1	-11.9	-0.0
54	-15.0	-14.8	-15.4	-17.7	-19.0	-21.4	-17.5	-18.0	-17.2	-15.5	-14.0	-0.0
55	-17.4	-17.2	-18.0	-20.6	-22.2	-24.7	-20.4	-21.0	-20.1	-18.2	-16.5	-0.0
56	-20.0	-19.9	-21.0	-23.8	-25.8	-28.6	-23.8	-24.5	-23.4	-21.4	-19.3	-0.0
57	-23.1	-23.1	-24.5	-27.6	-30.0	-33.0	-27.7	-28.6	-27.3	-25.1	-22.6	-0.0
58	-26.6	-26.7	-28.5	-32.0	-34.8	-38.2	-32.1	-33.4	-31.9	-29.3	-26.5	-0.0
59	-30.6	-31.0	-33.2	-37.0	-40.3	-43.9	-37.3	-38.9	-37.3	-34.3	-31.0	-0.0
60	-35.4	-35.8	-38.7	-42.6	-46.3	-50.2	-43.2	-44.9	-43.5	-40.0	-36.2	-0.0
61	-40.9	-41.4	-44.9	-48.8	-52.7	-56.6	-49.6	-51.1	-50.4	-46.4	-42.2	-0.0
62	-46.9	-47.6	-51.6	-55.3	-59.1	-62.5	-56.3	-57.1	-57.8	-53.1	-48.6	-0.0
63	-53.3	-54.0	-58.6	-61.6	-64.9	-67.5	-62.6	-62.2	-64.8	-59.7	-55.3	-0.0
64	-59.4	-60.3	-65.3	-67.2	-69.6	-71.1	-68.0	-66.1	-70.9	-65.5	-61.6	-0.0
